center_adv,threats_me_3,threats_opp_3,open_threats_me,open_threats_opp,pairs_me,pairs_opp,pop_me,pop_opp,col_h_0,col_h_1,col_h_2,col_h_3,col_h_4,col_h_5,col_h_6,my_col_0,my_col_1,my_col_2,my_col_3,my_col_4,my_col_5,my_col_6,opp_col_0,opp_col_1,opp_col_2,opp_col_3,opp_col_4,opp_col_5,opp_col_6,phase,lr_balance,move
mid,0,0,1,1,4,4,3,1,low,low,high,high,low,mid,mid,0,0,3,1,0,1,1,0,0,1,3,0,1,1,mid,mid,5_pop
mid,0,0,0,0,4,3,2,2,low,low,high,high,low,low,mid,0,0,1,3,0,1,1,0,0,3,1,0,0,1,mid,mid,5_put
mid,0,0,0,1,3,6,2,2,low,low,high,high,low,mid,mid,0,0,3,1,0,0,1,0,0,1,3,0,2,1,mid,high,5_put
mid,0,0,1,0,6,3,2,2,low,low,high,high,low,mid,mid,0,0,1,3,0,2,1,0,0,3,1,0,1,1,mid,mid,6_put
mid,0,0,0,1,3,6,2,2,low,low,high,high,low,mid,mid,0,0,3,1,0,1,1,0,0,1,3,0,2,2,mid,mid,1_put
mid,0,1,1,1,6,5,2,3,low,low,high,high,low,mid,mid,0,0,1,3,0,2,2,0,1,3,1,0,1,1,mid,low,1_put
mid,1,1,1,3,5,6,3,2,low,mid,high,high,low,mid,mid,0,1,3,1,0,1,1,0,1,1,3,0,2,2,mid,high,2_pop
mid,1,0,4,1,6,2,2,3,low,mid,mid,high,low,mid,mid,0,1,1,3,0,2,2,0,1,2,1,0,1,1,mid,mid,3_put
mid,0,1,1,4,2,6,3,2,low,mid,mid,high,low,mid,mid,0,1,2,1,0,1,1,0,1,1,4,0,2,2,mid,mid,5_put
mid,1,0,4,1,6,3,2,3,low,mid,mid,high,low,high,mid,0,1,1,4,0,2,2,0,1,2,1,0,2,1,mid,mid,1_put
mid,0,2,1,4,3,6,3,2,low,mid,mid,high,low,high,mid,0,1,2,1,0,2,1,0,2,1,4,0,2,2,mid,mid,1_put
mid,2,0,4,1,6,4,2,3,low,high,mid,high,low,high,mid,0,2,1,4,0,2,2,0,2,2,1,0,2,1,mid,mid,3_put
mid,0,3,1,4,4,6,3,2,low,high,mid,high,low,high,mid,0,2,2,1,0,2,1,0,2,1,4,0,2,2,mid,mid,1_pop
high,2,1,4,3,6,3,3,2,low,mid,mid,high,low,high,mid,0,2,1,4,0,2,2,0,1,2,1,0,2,1,mid,mid,5_pop
mid,1,2,3,2,4,6,2,3,low,mid,mid,high,low,mid,mid,0,1,2,1,0,2,1,0,2,1,4,0,1,2,mid,mid,2_put
